Week,Date,Token Supply,Weekly Emission,Total MEZO Emissions Since Inception,MEZO Inflation Since Inception
0,1/26/2026,"1,000,000,000","4,807,692",0,0.00%
13,4/27/2026,"1,062,426,889","4,788,583","62,426,889",6.24%
26,7/27/2026,"1,124,370,069","4,729,922","124,370,069",12.44%
39,10/26/2026,"1,185,305,123","4,630,098","185,305,123",18.53%
52,1/25/2027,"1,244,690,013","4,488,065","244,690,013",24.47%
65,4/26/2027,"1,301,972,765","4,303,396","301,972,765",30.20%
78,7/26/2027,"1,356,599,773","4,076,321","356,599,773",35.66%
91,10/25/2027,"1,408,024,525","3,807,759","408,024,525",40.80%
104,1/24/2028,"1,455,716,587","3,499,319","455,716,587",45.57%
117,4/24/2028,"1,500,519,611","3,381,580","500,519,611",50.05%
130,7/24/2028,"1,543,690,394","3,246,945","543,690,394",54.37%
143,10/23/2028,"1,585,011,003","3,095,725","585,011,003",58.50%
156,1/22/2029,"1,624,268,374","2,928,368","624,268,374",62.43%
169,4/23/2029,"1,661,256,124","2,745,465","661,256,124",66.13%
182,7/23/2029,"1,695,776,352","2,547,741","695,776,352",69.58%
195,10/22/2029,"1,727,641,390","2,336,054","727,641,390",72.76%
208,1/21/2030,"1,756,675,502","2,111,389","756,675,502",75.67%
221,4/22/2030,"1,783,519,269","2,009,675","783,519,269",78.35%
234,7/22/2030,"1,809,007,760","1,902,502","809,007,760",80.90%
247,10/21/2030,"1,833,071,414","1,790,109","833,071,414",83.31%
260,1/20/2031,"1,855,643,904","1,672,756","855,643,904",85.56%
